IP地址,采集时间,磁盘,磁盘使用率
10.185.2.101,2017/4/25 6:45,C:,71.2
10.185.2.101,2017/4/25 7:00,C:,71.2
10.185.2.101,2017/4/25 7:00,D:,87.44
10.185.2.101,2017/4/25 7:10,C:,71.2
10.185.2.101,2017/4/25 7:10,D:,87.44
10.185.2.101,2017/4/25 7:25,D:,87.44
10.185.2.101,2017/4/25 7:25,C:,71.2
10.185.2.101,2017/4/25 7:40,D:,87.44
10.185.2.101,2017/4/25 7:40,C:,71.2
10.185.2.101,2017/4/25 7:50,C:,71.2
10.185.2.101,2017/4/25 7:50,D:,87.44
10.185.2.101,2017/4/25 8:05,D:,87.44
10.185.2.101,2017/4/25 8:05,C:,71.2
10.185.2.101,2017/4/25 8:15,C:,71.2
10.185.2.101,2017/4/25 8:15,D:,87.44
10.185.2.101,2017/4/25 8:30,C:,71.2
10.185.2.101,2017/4/25 8:30,D:,87.44
10.185.2.101,2017/4/25 8:45,D:,87.44
10.185.2.101,2017/4/25 8:45,C:,71.2
10.185.2.101,2017/4/25 8:55,D:,87.44
10.185.2.101,2017/4/25 8:55,C:,71.2
10.185.2.101,2017/4/25 9:10,C:,71.2
10.185.2.101,2017/4/25 9:10,D:,87.44
10.185.2.101,2017/4/25 9:20,C:,71.2
10.185.2.101,2017/4/25 9:20,D:,87.44
10.185.2.101,2017/4/25 9:35,D:,87.44
10.185.2.101,2017/4/25 9:35,C:,71.2
10.185.2.101,2017/4/25 9:50,D:,87.44
10.185.2.101,2017/4/25 9:50,C:,71.2
10.185.2.101,2017/4/25 10:00,D:,87.44
10.185.2.101,2017/4/25 10:00,C:,71.2
10.185.2.101,2017/4/25 10:15,D:,87.44
10.185.2.101,2017/4/25 10:15,C:,71.2
10.185.2.101,2017/4/25 10:25,D:,87.44
10.185.2.101,2017/4/25 10:25,C:,71.2
10.185.2.101,2017/4/25 10:40,C:,71.2
10.185.2.101,2017/4/25 10:40,D:,87.44
10.185.2.101,2017/4/25 10:55,C:,71.2
10.185.2.101,2017/4/25 10:55,D:,87.44
10.185.2.101,2017/4/25 11:05,C:,71.2
10.185.2.101,2017/4/25 11:05,D:,87.44
10.185.2.101,2017/4/25 11:20,D:,87.44
10.185.2.101,2017/4/25 11:20,C:,71.2
10.185.2.101,2017/4/25 11:30,D:,87.44
10.185.2.101,2017/4/25 11:30,C:,71.2
10.185.2.101,2017/4/25 11:55,D:,87.44
10.185.2.101,2017/4/25 12:10,C:,71.2
10.185.2.101,2017/4/25 12:10,D:,87.44
10.185.2.101,2017/4/25 12:20,C:,71.2
10.185.2.101,2017/4/25 12:20,D:,87.44
10.185.2.101,2017/4/25 12:35,C:,71.2
10.185.2.101,2017/4/25 12:35,D:,87.44
10.185.2.101,2017/4/25 12:45,C:,71.2
10.185.2.101,2017/4/25 12:45,D:,87.44
10.185.2.101,2017/4/25 13:00,D:,87.44
10.185.2.101,2017/4/25 13:00,C:,71.2
10.185.2.101,2017/4/25 13:15,C:,71.2
10.185.2.101,2017/4/25 13:15,D:,87.44
10.185.2.101,2017/4/25 13:25,C:,71.2
10.185.2.101,2017/4/25 13:25,D:,87.44
10.185.2.101,2017/4/25 13:40,D:,87.44
10.185.2.101,2017/4/25 13:40,C:,71.2
10.185.2.101,2017/4/25 13:50,D:,87.44
10.185.2.101,2017/4/25 13:50,C:,71.2
10.185.2.101,2017/4/25 14:05,D:,87.44
10.185.2.101,2017/4/25 14:05,C:,71.2
10.185.2.101,2017/4/25 14:20,C:,71.2
10.185.2.101,2017/4/25 14:20,D:,87.44
10.185.2.101,2017/4/25 14:30,C:,71.2
10.185.2.101,2017/4/25 14:30,D:,87.44
10.185.2.101,2017/4/25 14:45,C:,71.2
10.185.2.101,2017/4/25 14:45,D:,87.44
10.185.2.101,2017/4/25 14:55,D:,87.44
10.185.2.101,2017/4/25 14:55,C:,71.2
10.185.2.101,2017/4/25 15:10,D:,87.44
10.185.2.101,2017/4/25 15:10,C:,71.2
10.185.2.101,2017/4/25 15:25,D:,87.44
10.185.2.101,2017/4/25 15:25,C:,71.2
10.185.2.101,2017/4/25 15:35,C:,71.2
10.185.2.101,2017/4/25 15:35,D:,87.44
10.185.2.101,2017/4/25 15:50,C:,71.2
10.185.2.101,2017/4/25 15:50,D:,87.44
10.185.2.101,2017/4/25 16:00,D:,87.44
10.185.2.101,2017/4/25 16:00,C:,71.2
10.185.2.101,2017/4/25 16:15,D:,87.44
10.185.2.101,2017/4/25 16:15,C:,71.2
10.185.2.101,2017/4/25 16:30,D:,87.44
10.185.2.101,2017/4/25 16:30,C:,71.2
10.185.2.101,2017/4/25 16:40,C:,71.2
10.185.2.101,2017/4/25 16:40,D:,87.44
10.185.2.101,2017/4/25 16:55,D:,87.44
10.185.2.101,2017/4/25 16:55,C:,71.2
10.185.2.101,2017/4/25 17:05,D:,87.44
10.185.2.101,2017/4/25 17:05,C:,71.2
10.185.2.101,2017/4/25 17:20,D:,87.44
10.185.2.101,2017/4/25 17:20,C:,71.2
10.185.2.101,2017/4/25 17:35,D:,87.44
10.185.2.101,2017/4/25 17:35,C:,71.2
10.185.2.101,2017/4/25 17:45,C:,71.2
10.185.2.101,2017/4/25 17:45,D:,87.44
10.185.2.101,2017/4/25 18:00,C:,71.2
10.185.2.101,2017/4/25 18:00,D:,87.44
10.185.2.101,2017/4/25 18:10,D:,87.44
10.185.2.101,2017/4/25 18:10,C:,71.2
10.185.2.101,2017/4/25 18:25,D:,87.44
10.185.2.101,2017/4/25 18:25,C:,71.2
10.185.2.101,2017/4/25 18:40,C:,71.2
10.185.2.101,2017/4/25 18:40,D:,87.44
10.185.2.101,2017/4/25 18:50,C:,71.2
10.185.2.101,2017/4/25 18:50,D:,87.44
10.185.2.101,2017/4/25 19:05,C:,71.2
10.185.2.101,2017/4/25 19:05,D:,87.44
10.185.2.101,2017/4/25 19:15,D:,87.44
10.185.2.101,2017/4/25 19:15,C:,71.2
10.185.2.101,2017/4/25 19:30,C:,71.2
10.185.2.101,2017/4/25 19:30,D:,87.44
10.185.2.101,2017/4/25 19:45,D:,87.44
10.185.2.101,2017/4/25 19:45,C:,71.2
10.185.2.101,2017/4/25 19:55,D:,87.44
10.185.2.101,2017/4/25 19:55,C:,71.2
10.185.2.101,2017/4/25 20:10,D:,87.44
10.185.2.101,2017/4/25 20:10,C:,71.2
10.185.2.101,2017/4/25 20:20,D:,87.44
10.185.2.101,2017/4/25 20:20,C:,71.2
10.185.2.101,2017/4/25 20:35,D:,87.44
10.185.2.101,2017/4/25 20:35,C:,71.2
10.185.2.101,2017/4/25 20:50,D:,87.44
10.185.2.101,2017/4/25 20:50,C:,71.2
10.185.2.101,2017/4/25 21:00,D:,87.44
10.185.2.101,2017/4/25 21:00,C:,71.2
10.185.2.101,2017/4/25 21:15,D:,87.44
10.185.2.101,2017/4/25 21:15,C:,71.2
10.185.2.101,2017/4/25 21:25,C:,71.2
10.185.2.101,2017/4/25 21:25,D:,87.44
10.185.2.101,2017/4/25 21:40,C:,71.2
10.185.2.101,2017/4/25 21:40,D:,87.44
10.185.2.101,2017/4/25 21:55,D:,87.44
10.185.2.101,2017/4/25 21:55,C:,71.2
10.185.2.101,2017/4/25 22:05,D:,87.44
10.185.2.101,2017/4/25 22:05,C:,71.2
10.185.2.101,2017/4/25 22:20,D:,87.44
10.185.2.101,2017/4/25 22:20,C:,71.2
10.185.2.101,2017/4/25 22:30,C:,71.2
10.185.2.101,2017/4/25 22:30,D:,87.44
10.185.2.101,2017/4/25 22:45,C:,71.2
10.185.2.101,2017/4/25 22:45,D:,87.44
10.185.2.101,2017/4/25 23:00,D:,87.44
10.185.2.101,2017/4/25 23:00,C:,71.2
10.185.2.101,2017/4/25 23:10,C:,71.2
10.185.2.101,2017/4/25 23:10,D:,87.44
10.185.2.101,2017/4/25 23:25,D:,87.44
10.185.2.101,2017/4/25 23:25,C:,71.2
10.185.2.101,2017/4/25 23:35,C:,71.2
10.185.2.101,2017/4/25 23:35,D:,87.44
10.185.2.101,2017/4/25 23:50,D:,87.44
10.185.2.101,2017/4/25 23:50,C:,71.2
10.185.2.101,2017/4/26 0:05,C:,71.2
10.185.2.101,2017/4/26 0:05,D:,87.44
10.185.2.101,2017/4/26 0:15,C:,71.2
10.185.2.101,2017/4/26 0:15,D:,87.44
10.185.2.101,2017/4/26 0:30,D:,87.44
10.185.2.101,2017/4/26 0:30,C:,71.2
10.185.2.101,2017/4/26 0:40,D:,87.44
10.185.2.101,2017/4/26 0:40,C:,71.2
10.185.2.101,2017/4/26 0:55,D:,87.44
10.185.2.101,2017/4/26 0:55,C:,71.2
10.185.2.101,2017/4/26 1:10,D:,87.44
10.185.2.101,2017/4/26 1:10,C:,71.2
10.185.2.101,2017/4/26 1:20,D:,87.44
10.185.2.101,2017/4/26 1:20,C:,71.2
10.185.2.101,2017/4/26 1:35,C:,71.2
10.185.2.101,2017/4/26 1:35,D:,87.44
10.185.2.101,2017/4/26 1:45,D:,87.44
10.185.2.101,2017/4/26 1:45,C:,71.2
10.185.2.101,2017/4/26 2:00,D:,87.44
10.185.2.101,2017/4/26 2:00,C:,71.2
10.185.2.101,2017/4/26 2:15,D:,87.44
10.185.2.101,2017/4/26 2:15,C:,71.2
10.185.2.101,2017/4/26 2:25,C:,71.2
10.185.2.101,2017/4/26 2:25,D:,87.44
10.185.2.101,2017/4/26 2:40,C:,71.2
10.185.2.101,2017/4/26 2:40,D:,87.44
10.185.2.101,2017/4/26 2:50,D:,87.44
10.185.2.101,2017/4/26 2:50,C:,71.2
10.185.2.101,2017/4/26 3:05,D:,87.44
10.185.2.101,2017/4/26 3:05,C:,71.2
10.185.2.101,2017/4/26 3:20,D:,87.44
10.185.2.101,2017/4/26 3:20,C:,71.2
10.185.2.101,2017/4/26 3:30,C:,71.2
10.185.2.101,2017/4/26 3:30,D:,87.44
10.185.2.101,2017/4/26 3:45,D:,87.44
